lat	lng	type
42.6515652	23.3344485	детска градина
42.6603363	23.3648391	детска градина
42.6493414	23.3439347	детска градина
42.66357672	23.36187375	детска градина
42.6555311	23.363351	детска градина
42.6526593	23.3401745	детска градина
42.6706833	23.3126013	детска градина
42.6581059	23.300399	детска градина
42.6665275	23.2912522	детска градина
42.669107	23.296241	детска градина
42.6721478	23.3028703	детска градина
42.6656	23.2951	детска градина
42.675576	23.2989939	детска градина
42.6802908	23.3086212	детска градина
42.6622704	23.2993293	детска градина
42.6642804	23.3016652	детска градина
42.6869435	23.3128084	детска градина
42.6998061	23.2886139	лечебно заведение
42.6931297	23.3113369	лечебно заведение
42.7061627	23.3184942	лечебно заведение
42.6400532	23.3181231	лечебно заведение
42.655481	23.3848118	лечебно заведение
42.66483443	23.32498946	лечебно заведение
42.7034225	23.1447383	лечебно заведение
42.70979387	23.15401571	лечебно заведение
42.6833793	23.3044116	лечебно заведение
42.6925912	23.3399973	лечебно заведение
42.6598767	23.284804	лечебно заведение
42.6598767	23.284804	лечебно заведение
42.7162741	23.2614246	лечебно заведение
42.679046	23.3112775	лечебно заведение
42.7466399	23.2763887	лечебно заведение
42.7136136	23.3120914	лечебно заведение
42.6894638	23.3068354	лечебно заведение
42.6961713	23.3544217	лечебно заведение
42.6562332	23.3207241	лечебно заведение
42.6847211	23.2459421	лечебно заведение
42.6889265	23.2740563	лечебно заведение
42.681314	23.2708502	лечебно заведение
42.6636299	23.3131278	лечебно заведение
42.7083594	23.2493751	лечебно заведение
42.7069957	23.2885082	лечебно заведение
42.7000443	23.3070486	лечебно заведение
42.660614	23.3716081	лечебно заведение
42.6988238	23.3437787	лечебно заведение
42.641757	23.3737142	лечебно заведение
42.6598767	23.284804	лечебно заведение
42.7304069	23.2536536	лечебно заведение
42.6966028	23.3144848	лечебно заведение
42.6818423	23.24545	лечебно заведение
42.6816199	23.2552244	лечебно заведение
42.6679791	23.3619542	лечебно заведение
42.6765748	23.2511054	лечебно заведение
42.6933052	23.3094044	лечебно заведение
42.7016585	23.3386161	лечебно заведение
42.6792958	23.3118946	лечебно заведение
42.6885235	23.3052937	лечебно заведение
42.6583385	23.3927999	лечебно заведение
42.7070084	23.3030158	лечебно заведение
42.6988238	23.3437787	лечебно заведение
42.6989379	23.3018191	лечебно заведение
42.7107158	23.3219192	лечебно заведение
42.6767297	23.2699985	лечебно заведение
42.7001968	23.287556	лечебно заведение
42.71294803	23.31259778	лечебно заведение
42.7136136	23.3120914	лечебно заведение
42.6593324	23.3363828	лечебно заведение
42.6837098	23.3131561	лечебно заведение
42.6751799	23.2894349	лечебно заведение
42.6838791	23.3018288	лечебно заведение
42.6814145	23.3027964	лечебно заведение
42.6668609	23.2583901	лечебно заведение
42.7006406	23.3337383	лечебно заведение
42.6625367	23.3802869	лечебно заведение
42.6807466	23.3100893	лечебно заведение
42.6553516	23.3711004	лечебно заведение
42.7009409	23.292581	лечебно заведение
42.625126	23.3307125	лечебно заведение
42.6643165	23.3438898	лечебно заведение
42.6606765	23.360457	лечебно заведение
42.7613856	23.5595397	лечебно заведение
42.73842986	23.50772394	лечебно заведение
42.596333	23.413151	лечебно заведение
42.6920153	23.3389497	лечебно заведение
42.7096475	23.1503069	лечебно заведение
42.6934399	23.2927615	лечебно заведение
42.7626438	23.2013093	лечебно заведение
42.6386142	23.3177805	лечебно заведение
42.7017544	23.3691679	лечебно заведение
42.6885235	23.3052937	лечебно заведение
42.6704653	23.2510018	лечебно заведение
42.7070084	23.3030158	лечебно заведение
42.6847681	23.3048099	лечебно заведение
42.677222	23.308889	лечебно заведение
42.6669624	23.3642446	лечебно заведение
42.6628449	23.37142	лечебно заведение
42.7010597	23.3390866	лечебно заведение
42.6848544	23.3124972	лечебно заведение
42.7069957	23.2885082	лечебно заведение
42.6901711	23.3074057	лечебно заведение
42.6884506	23.3225829	лечебно заведение
42.6837098	23.3131561	лечебно заведение
42.6606765	23.360457	лечебно заведение
42.7007344	23.3271377	лечебно заведение
42.6692246	23.4011914	лечебно заведение
42.700177	23.3209532	храм
42.6999497	23.3221058	храм
42.6955588	23.3323696	храм
